@RELATION hand

@ATTRIBUTE f111 NUMERIC
@ATTRIBUTE f112 NUMERIC
@ATTRIBUTE f113 NUMERIC
@ATTRIBUTE f121 NUMERIC
@ATTRIBUTE f122 NUMERIC
@ATTRIBUTE f123 NUMERIC
@ATTRIBUTE f131 NUMERIC
@ATTRIBUTE f132 NUMERIC
@ATTRIBUTE f133 NUMERIC
@ATTRIBUTE f141 NUMERIC
@ATTRIBUTE f142 NUMERIC
@ATTRIBUTE f143 NUMERIC
@ATTRIBUTE f211 NUMERIC
@ATTRIBUTE f212 NUMERIC
@ATTRIBUTE f213 NUMERIC
@ATTRIBUTE f221 NUMERIC
@ATTRIBUTE f222 NUMERIC
@ATTRIBUTE f223 NUMERIC
@ATTRIBUTE f231 NUMERIC
@ATTRIBUTE f232 NUMERIC
@ATTRIBUTE f233 NUMERIC
@ATTRIBUTE f241 NUMERIC
@ATTRIBUTE f242 NUMERIC
@ATTRIBUTE f243 NUMERIC
@ATTRIBUTE f311 NUMERIC
@ATTRIBUTE f312 NUMERIC
@ATTRIBUTE f313 NUMERIC
@ATTRIBUTE f321 NUMERIC
@ATTRIBUTE f322 NUMERIC
@ATTRIBUTE f323 NUMERIC
@ATTRIBUTE f331 NUMERIC
@ATTRIBUTE f332 NUMERIC
@ATTRIBUTE f333 NUMERIC
@ATTRIBUTE f341 NUMERIC
@ATTRIBUTE f342 NUMERIC
@ATTRIBUTE f343 NUMERIC
@ATTRIBUTE f411 NUMERIC
@ATTRIBUTE f412 NUMERIC
@ATTRIBUTE f413 NUMERIC
@ATTRIBUTE f421 NUMERIC
@ATTRIBUTE f422 NUMERIC
@ATTRIBUTE f423 NUMERIC
@ATTRIBUTE f431 NUMERIC
@ATTRIBUTE f432 NUMERIC
@ATTRIBUTE f433 NUMERIC
@ATTRIBUTE f441 NUMERIC
@ATTRIBUTE f442 NUMERIC
@ATTRIBUTE f443 NUMERIC
@ATTRIBUTE f511 NUMERIC
@ATTRIBUTE f512 NUMERIC
@ATTRIBUTE f513 NUMERIC
@ATTRIBUTE f521 NUMERIC
@ATTRIBUTE f522 NUMERIC
@ATTRIBUTE f523 NUMERIC
@ATTRIBUTE f531 NUMERIC
@ATTRIBUTE f532 NUMERIC
@ATTRIBUTE f533 NUMERIC
@ATTRIBUTE f541 NUMERIC
@ATTRIBUTE f542 NUMERIC
@ATTRIBUTE f543 NUMERIC
@ATTRIBUTE class {open, closed, claw}

@DATA
32.6148, 171.096, 70.8286,20.7646, 181.956, 54.8643,3.05841, 198.649, 25.8189,-0.361333, 203.471, 2.44899,37.35, 206.95, 45.4297,17.6844, 216.663, 6.76682,7.39678, 196.22, -3.62312,9.98094, 180.525, 4.50984,51.641, 204.183, 40.0043,33.5634, 210.704, 0.357506,17.8842, 188.396, -7.82808,16.5243, 172.161, 4.58822,65.2321, 197.401, 36.2142,51.6196, 199.009, 2.3229,32.3902, 175.712, -5.07354,22.8267, 157.956, 0.218545,75.5728, 186.159, 31.9031,66.963, 190.608, 1.35296,49.0166, 176.509, -4.7167,38.095, 165.079, 0.122165,closed
32.6142, 171.163, 70.8939,20.7726, 181.989, 54.8998,3.06832, 198.632, 25.8203,-0.376141, 203.44, 2.44165,37.3566, 206.989, 45.4564,17.7006, 216.65, 6.78593,7.41968, 196.186, -3.57235,10.0079, 180.503, 4.58279,51.6485, 204.216, 40.0369,33.5793, 210.69, 0.38225,17.9024, 188.372, -7.77558,16.5426, 172.153, 4.66269,65.24, 197.429, 36.2571,51.6346, 199, 2.36093,32.4056, 175.697, -5.01199,22.8403, 157.948, 0.301511,75.5809, 186.182, 31.9605,66.9769, 190.597, 1.40542,49.0314, 176.49, -4.64983,38.111, 165.064, 0.20043,closed
32.6137, 171.226, 70.9536,20.782, 182.019, 54.9305,3.08319, 198.614, 25.8168,-0.382751, 203.409, 2.42899,37.3627, 207.025, 45.4808,17.7154, 216.638, 6.80359,7.44074, 196.155, -3.52548,10.0329, 180.482, 4.65001,51.6554, 204.246, 40.0668,33.5936, 210.671, 0.410572,17.9217, 188.337, -7.71171,16.5663, 172.137, 4.75228,65.2472, 197.454, 36.2963,51.6484, 198.992, 2.3954,32.4194, 175.683, -4.95707,22.852, 157.941, 0.374721,75.5884, 186.202, 32.013,66.9892, 190.586, 1.45403,49.0451, 176.472, -4.58669,38.1277, 165.048, 0.275406,closed
32.6155, 171.285, 71.0112,20.7934, 182.047, 54.96,3.09901, 198.596, 25.8141,-0.387371, 203.376, 2.41845,37.3745, 207.057, 45.502,17.7361, 216.623, 6.81821,7.46468, 196.123, -3.48139,10.0588, 180.46, 4.71453,51.6677, 204.27, 40.0931,33.6128, 210.642, 0.43945,17.945, 188.292, -7.63967,16.5952, 172.114, 4.85433,65.2589, 197.472, 36.3318,51.6658, 198.978, 2.42661,32.4339, 175.664, -4.90461,22.8623, 157.93, 0.445615,75.5988, 186.214, 32.0617,67.0044, 190.566, 1.49907,49.0595, 176.447, -4.52597,38.1426, 165.028, 0.349354,closed
32.6216, 171.343, 71.0658,20.8059, 182.073, 54.9882,3.10874, 198.574, 25.8134,-0.407687, 203.343, 2.41021,37.3921, 207.087, 45.5193,17.7612, 216.608, 6.82928,7.49075, 196.091, -3.44022,10.0857, 180.438, 4.77624,51.6852, 204.291, 40.1148,33.6359, 210.612, 0.463686,17.9696, 188.247, -7.57214,16.6243, 172.091, 4.95172,65.2751, 197.485, 36.3622,51.6861, 198.959, 2.45299,32.4492, 175.643, -4.85545,22.8725, 157.918, 0.514761,75.6127, 186.22, 32.1051,67.0222, 190.542, 1.53833,49.0747, 176.42, -4.47124,38.1561, 165.007, 0.416812,closed
32.6263, 171.387, 71.1077,20.8147, 182.089, 55.0084,3.1147, 198.549, 25.809,-0.422136, 203.304, 2.39984,37.4056, 207.11, 45.5324,17.7804, 216.596, 6.83789,7.51079, 196.067, -3.40837,10.1066, 180.422, 4.82386,51.6986, 204.306, 40.1314,33.6534, 210.589, 0.481935,17.9881, 188.213, -7.52159,16.6458, 172.073, 5.02439,65.2875, 197.496, 36.3854,51.7018, 198.944, 2.47329,32.4611, 175.627, -4.81706,22.8804, 157.909, 0.569437,75.6234, 186.225, 32.1384,67.0356, 190.523, 1.5691,49.0861, 176.398, -4.42725,38.1665, 164.991, 0.471744,closed
32.6315, 171.436, 71.1534,20.8228, 182.107, 55.0314,3.11756, 198.52, 25.8062,-0.443267, 203.26, 2.39012,37.4204, 207.135, 45.5468,17.8015, 216.583, 6.84747,7.53282, 196.039, -3.37317,10.1296, 180.403, 4.87637,51.7132, 204.324, 40.1496,33.6725, 210.564, 0.502045,18.0082, 188.176, -7.46622,16.6696, 172.054, 5.10361,65.3011, 197.507, 36.4108,51.7188, 198.929, 2.49551,32.4739, 175.61, -4.77533,22.8888, 157.9, 0.628468,75.635, 186.23, 32.1747,67.0502, 190.502, 1.60264,49.0987, 176.374, -4.37926,38.1786, 164.973, 0.532028,closed
32.6574, 171.51, 71.214,20.8508, 182.144, 55.0663,3.1388, 198.5, 25.8103,-0.444381, 203.211, 2.38712,37.46, 207.175, 45.563,17.8446, 216.573, 6.85865,7.57218, 196.013, -3.32678,10.1684, 180.388, 4.94568,51.7515, 204.351, 40.1688,33.7118, 210.54, 0.521822,18.0422, 188.142, -7.40371,16.7039, 172.041, 5.19475,65.3365, 197.524, 36.438,51.7549, 198.923, 2.50113,32.4956, 175.618, -4.7669,22.8939, 157.923, 0.652282,75.6656, 186.238, 32.2156,67.0809, 190.474, 1.64068,49.1237, 176.344, -4.31908,38.2013, 164.953, 0.60999,closed
32.6426, 171.513, 71.2464,20.8536, 182.154, 55.0904,3.16512, 198.525, 25.827,-0.416942, 203.252, 2.40263,37.4919, 207.187, 45.6169,17.9035, 216.621, 6.91183,7.61757, 196.073, -3.28473,10.1973, 180.442, 4.98215,51.783, 204.352, 40.2274,33.7672, 210.581, 0.574579,18.0785, 188.204, -7.37177,16.7178, 172.098, 5.2169,65.3629, 197.513, 36.4989,51.7981, 198.937, 2.5655,32.522, 175.65, -4.70275,22.906, 157.964, 0.723279,75.6827, 186.219, 32.275,67.1157, 190.48, 1.69856,49.1473, 176.372, -4.27667,38.2117, 164.989, 0.641728,closed
32.6302, 171.508, 71.2821,20.8663, 182.162, 55.1167,3.21122, 198.562, 25.8467,-0.372757, 203.319, 2.42148,37.5474, 207.201, 45.6922,17.9962, 216.699, 6.98953,7.68863, 196.171, -3.22812,10.2439, 180.529, 5.02643,51.8374, 204.35, 40.308,33.8544, 210.652, 0.647591,18.1357, 188.31, -7.33606,16.7413, 172.192, 5.23375,65.4092, 197.495, 36.5803,51.8666, 198.964, 2.65415,32.5639, 175.703, -4.62009,22.9251, 158.031, 0.807771,75.7146, 186.19, 32.3506,67.1714, 190.495, 1.77483,49.1855, 176.419, -4.22273,38.2311, 165.047, 0.680373,closed
32.6043, 171.474, 71.3181,20.8729, 182.161, 55.151,3.26261, 198.625, 25.8872,-0.317025, 203.438, 2.46569,37.6069, 207.214, 45.8104,18.1046, 216.826, 7.117,7.77112, 196.334, -3.14772,10.295, 180.671, 5.07693,51.896, 204.349, 40.4314,33.957, 210.777, 0.763915,18.202, 188.488, -7.2908,16.7642, 172.344, 5.23947,65.4583, 197.477, 36.6995,51.9462, 199.038, 2.77421,32.6093, 175.823, -4.54577,22.937, 158.161, 0.856477,75.7465, 186.163, 32.4533,67.2354, 190.55, 1.88111,49.2289, 176.519, -4.15917,38.2511, 165.157, 0.713248,closed
32.8211, 171.508, 71.3567,21.0848, 182.221, 55.2103,3.44967, 198.731, 25.9853,-0.188236, 203.578, 2.57226,37.8724, 207.261, 45.8759,18.3228, 216.958, 7.23523,7.91759, 196.498, -3.02235,10.4192, 180.821, 5.18453,52.1432, 204.362, 40.4664,34.147, 210.891, 0.829536,18.314, 188.665, -7.22964,16.853, 172.514, 5.28687,65.6794, 197.457, 36.7013,52.1066, 199.091, 2.80094,32.6914, 175.939, -4.50739,22.9796, 158.3, 0.897644,75.9283, 186.119, 32.4236,67.37, 190.559, 1.87362,49.3139, 176.583, -4.14222,38.3163, 165.247, 0.745371,closed
