@RELATION hand

@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE class {open, closed, claw}

(87.185, 207.023, 46.6774),(83.3777, 209.729, 8.57003),(76.9133, 185.95, 0.494844),(75.8047, 171.797, 14.6963), closed
(101.346, 200.032, 45.3119),(100.224, 206.451, 12.3284),(92.2334, 190.23, 4.5476),(90.2817, 179.164, 15.7699), closed
(56.7347, 168.69, 70.2086),(44.9665, 175.057, 51.9626),(31.6419, 184.696, 18.6932),(33.9633, 188.926, -6.15755), closed
(55.9772, 206.654, 47.707),(46.0629, 211.573, 6.92065),(47.5887, 189.148, -2.02171),(53.3924, 177.166, 9.85544), closed
(71.2604, 209.039, 46.5054),(63.3344, 211.572, 5.36029),(59.3771, 185.621, -2.81316),(61.1485, 171.529, 11.9149), closed
(86.7923, 207.247, 46.6177),(82.9263, 209.856, 8.48317),(76.514, 186.05, 0.443282),(75.451, 171.917, 14.6651), closed
(100.971, 200.293, 45.2522),(99.7832, 206.617, 12.2482),(91.8288, 190.351, 4.51695),(89.9236, 179.303, 15.7651), closed
(56.2275, 168.964, 70.2493),(44.3543, 175.181, 52.0201),(30.8608, 184.582, 18.7549),(33.1005, 188.678, -6.11965), closed
(55.2571, 206.815, 47.5675),(45.1871, 211.497, 6.7963),(46.7644, 189.03, -2.03918),(52.6524, 177.125, 9.87454), closed
(70.5275, 209.249, 46.3017),(62.45, 211.559, 5.16862),(58.5541, 185.548, -2.88512),(60.4232, 171.51, 11.8832), closed
(86.0659, 207.512, 46.369),(82.0657, 209.883, 8.27001),(75.6963, 185.986, 0.411861),(74.6933, 171.923, 14.7148), closed
(100.265, 200.603, 44.9882),(98.9385, 206.754, 11.9654),(91.0155, 190.415, 4.3479),(89.1915, 179.412, 15.6551), closed
(55.4039, 169.143, 70.5674),(43.4026, 175.216, 52.3735),(29.7048, 184.4, 19.1367),(31.8588, 188.393, -5.7513), closed
(54.1484, 206.91, 47.7593),(43.8978, 211.394, 7.01539),(45.56, 188.902, -1.74514),(51.5568, 177.066, 10.1855), closed
(69.4009, 209.419, 46.4256),(61.1495, 211.559, 5.30159),(57.3526, 185.506, -2.67837),(59.3485, 171.507, 12.1103), closed
(84.9483, 207.763, 46.4383),(80.7963, 209.992, 8.33426),(74.5055, 186.038, 0.553308),(73.5898, 172, 14.8868), closed
(99.1778, 200.923, 45.026),(97.6864, 206.928, 12.0081),(89.817, 190.501, 4.50499),(88.0954, 179.529, 15.8626), closed
(55.1597, 169.141, 70.618),(43.1264, 175.199, 52.44),(29.3764, 184.367, 19.2214),(31.5005, 188.367, -5.66747), closed
(53.8232, 206.912, 47.82),(43.5244, 211.388, 7.08888),(45.2125, 188.899, -1.67754),(51.2398, 177.07, 10.2439), closed
(69.0704, 209.444, 46.4712),(60.7781, 211.545, 5.39282),(57.0218, 185.46, -2.53807),(59.0594, 171.471, 12.2603), closed
(84.6204, 207.812, 46.4676),(80.4284, 210.047, 8.3642),(74.1612, 186.086, 0.574582),(73.2685, 172.037, 14.8988), closed
(98.8588, 200.994, 45.039),(97.3224, 206.995, 12.0321),(89.4691, 190.549, 4.54281),(87.7754, 179.571, 15.9001), closed
(54.8302, 169.014, 70.7338),(42.724, 175.057, 52.5995),(28.8594, 184.231, 19.4338),(30.925, 188.285, -5.4493), closed
